id,road_id,x,y,angle,length,width,stripe_width,stripe_gap,curb_cut_depth,stop_bar_gap,priority
gwb_cross_001,fl_bridge_plaza_n,5785,3000,90,550,144,56,32,32,36,signalized
gwb_cross_002,fl_lemoine,4700,2685,0,550,144,56,32,32,36,signalized
gwb_cross_003,fl_lemoine,4700,3315,0,550,144,56,32,32,36,signalized
gwb_cross_004,fl_bridge_plaza_n,4385,3000,90,550,144,56,32,32,36,signalized
gwb_cross_005,fl_bridge_plaza_n,5015,3000,90,550,144,56,32,32,36,signalized
gwb_cross_006,fl_center,3300,2685,0,550,144,56,32,32,36,signalized
gwb_cross_007,fl_center,3300,3315,0,550,144,56,32,32,36,signalized
gwb_cross_008,fl_bridge_plaza_n,2985,3000,90,550,144,56,32,32,36,signalized
gwb_cross_009,fl_bridge_plaza_n,3615,3000,90,550,144,56,32,32,36,signalized
gwb_cross_010,fl_park,1900,2685,0,550,144,56,32,32,36,signalized
gwb_cross_011,fl_park,1900,3315,0,550,144,56,32,32,36,signalized
gwb_cross_012,fl_bridge_plaza_n,1585,3000,90,550,144,56,32,32,36,signalized
gwb_cross_013,fl_bridge_plaza_n,2215,3000,90,550,144,56,32,32,36,signalized
gwb_cross_014,fl_fletcher,900,2685,0,550,144,56,32,32,36,signalized
gwb_cross_015,fl_fletcher,900,3315,0,550,144,56,32,32,36,signalized
gwb_cross_016,fl_bridge_plaza_n,585,3000,90,550,144,56,32,32,36,signalized
gwb_cross_017,fl_bridge_plaza_n,1215,3000,90,550,144,56,32,32,36,signalized
gwb_cross_018,fl_main,5785,4300,90,550,144,56,32,32,36,signalized
gwb_cross_019,fl_lemoine,4700,3985,0,550,144,56,32,32,36,signalized
gwb_cross_020,fl_lemoine,4700,4615,0,550,144,56,32,32,36,signalized
gwb_cross_021,fl_main,4385,4300,90,550,144,56,32,32,36,signalized
gwb_cross_022,fl_main,5015,4300,90,550,144,56,32,32,36,signalized
gwb_cross_023,fl_center,3300,3985,0,550,144,56,32,32,36,signalized
gwb_cross_024,fl_center,3300,4615,0,550,144,56,32,32,36,signalized
gwb_cross_025,fl_main,2985,4300,90,550,144,56,32,32,36,signalized
gwb_cross_026,fl_main,3615,4300,90,550,144,56,32,32,36,signalized
gwb_cross_027,fl_park,1900,3985,0,550,144,56,32,32,36,signalized
gwb_cross_028,fl_park,1900,4615,0,550,144,56,32,32,36,signalized
gwb_cross_029,fl_main,1585,4300,90,550,144,56,32,32,36,signalized
gwb_cross_030,fl_main,2215,4300,90,550,144,56,32,32,36,signalized
gwb_cross_031,fl_fletcher,900,3985,0,550,144,56,32,32,36,signalized
gwb_cross_032,fl_fletcher,900,4615,0,550,144,56,32,32,36,signalized
gwb_cross_033,fl_main,585,4300,90,550,144,56,32,32,36,signalized
gwb_cross_034,fl_main,1215,4300,90,550,144,56,32,32,36,signalized
gwb_cross_035,fl_bruce_reynolds,5785,5900,90,550,144,56,32,32,36,signalized
gwb_cross_036,fl_lemoine,4700,5585,0,550,144,56,32,32,36,signalized
gwb_cross_037,fl_lemoine,4700,6215,0,550,144,56,32,32,36,signalized
gwb_cross_038,fl_bruce_reynolds,4385,5900,90,550,144,56,32,32,36,signalized
gwb_cross_039,fl_bruce_reynolds,5015,5900,90,550,144,56,32,32,36,signalized
gwb_cross_040,fl_center,3300,5585,0,550,144,56,32,32,36,signalized
gwb_cross_041,fl_center,3300,6215,0,550,144,56,32,32,36,signalized
gwb_cross_042,fl_bruce_reynolds,2985,5900,90,550,144,56,32,32,36,signalized
gwb_cross_043,fl_bruce_reynolds,3615,5900,90,550,144,56,32,32,36,signalized
gwb_cross_044,fl_park,1900,5585,0,550,144,56,32,32,36,signalized
gwb_cross_045,fl_park,1900,6215,0,550,144,56,32,32,36,signalized
gwb_cross_046,fl_bruce_reynolds,1585,5900,90,550,144,56,32,32,36,signalized
gwb_cross_047,fl_bruce_reynolds,2215,5900,90,550,144,56,32,32,36,signalized
gwb_cross_048,fl_fletcher,900,5585,0,550,144,56,32,32,36,signalized
gwb_cross_049,fl_fletcher,900,6215,0,550,144,56,32,32,36,signalized
gwb_cross_050,fl_bruce_reynolds,585,5900,90,550,144,56,32,32,36,signalized
gwb_cross_051,fl_bruce_reynolds,1215,5900,90,550,144,56,32,32,36,signalized
gwb_cross_052,fl_center_cross,5785,7350,90,550,144,56,32,32,36,signalized
gwb_cross_053,fl_lemoine,4700,7035,0,550,144,56,32,32,36,signalized
gwb_cross_054,fl_lemoine,4700,7665,0,550,144,56,32,32,36,signalized
gwb_cross_055,fl_center_cross,4385,7350,90,550,144,56,32,32,36,signalized
gwb_cross_056,fl_center_cross,5015,7350,90,550,144,56,32,32,36,signalized
gwb_cross_057,fl_center,3300,7035,0,550,144,56,32,32,36,signalized
gwb_cross_058,fl_center,3300,7665,0,550,144,56,32,32,36,signalized
gwb_cross_059,fl_center_cross,2985,7350,90,550,144,56,32,32,36,signalized
gwb_cross_060,fl_center_cross,3615,7350,90,550,144,56,32,32,36,signalized
gwb_cross_061,fl_park,1900,7035,0,550,144,56,32,32,36,signalized
gwb_cross_062,fl_park,1900,7665,0,550,144,56,32,32,36,signalized
gwb_cross_063,fl_center_cross,1585,7350,90,550,144,56,32,32,36,signalized
gwb_cross_064,fl_center_cross,2215,7350,90,550,144,56,32,32,36,signalized
gwb_cross_065,fl_fletcher,900,7035,0,550,144,56,32,32,36,signalized
gwb_cross_066,fl_fletcher,900,7665,0,550,144,56,32,32,36,signalized
gwb_cross_067,fl_center_cross,585,7350,90,550,144,56,32,32,36,signalized
gwb_cross_068,fl_center_cross,1215,7350,90,550,144,56,32,32,36,signalized
gwb_cross_069,ny_w181,10565,1800,90,550,144,56,32,32,36,signalized
gwb_cross_070,ny_broadway,11600,1485,0,550,144,56,32,32,36,signalized
gwb_cross_071,ny_broadway,11600,2115,0,550,144,56,32,32,36,signalized
gwb_cross_072,ny_w181,11285,1800,90,550,144,56,32,32,36,signalized
gwb_cross_073,ny_w181,11915,1800,90,550,144,56,32,32,36,signalized
gwb_cross_074,ny_fort_washington,13100,1485,0,550,144,56,32,32,36,signalized
gwb_cross_075,ny_fort_washington,13100,2115,0,550,144,56,32,32,36,signalized
gwb_cross_076,ny_w181,12785,1800,90,550,144,56,32,32,36,signalized
gwb_cross_077,ny_w181,13415,1800,90,550,144,56,32,32,36,signalized
gwb_cross_078,ny_amsterdam,14500,1485,0,550,144,56,32,32,36,signalized
gwb_cross_079,ny_amsterdam,14500,2115,0,550,144,56,32,32,36,signalized
gwb_cross_080,ny_w181,14185,1800,90,550,144,56,32,32,36,signalized
gwb_cross_081,ny_w181,14815,1800,90,550,144,56,32,32,36,signalized
gwb_cross_082,ny_w178,10565,3100,90,550,144,56,32,32,36,signalized
gwb_cross_083,ny_broadway,11600,2785,0,550,144,56,32,32,36,signalized
gwb_cross_084,ny_broadway,11600,3415,0,550,144,56,32,32,36,signalized
gwb_cross_085,ny_w178,11285,3100,90,550,144,56,32,32,36,signalized
gwb_cross_086,ny_w178,11915,3100,90,550,144,56,32,32,36,signalized
gwb_cross_087,ny_fort_washington,13100,2785,0,550,144,56,32,32,36,signalized
gwb_cross_088,ny_fort_washington,13100,3415,0,550,144,56,32,32,36,signalized
gwb_cross_089,ny_w178,12785,3100,90,550,144,56,32,32,36,signalized
gwb_cross_090,ny_w178,13415,3100,90,550,144,56,32,32,36,signalized
gwb_cross_091,ny_amsterdam,14500,2785,0,550,144,56,32,32,36,signalized
gwb_cross_092,ny_amsterdam,14500,3415,0,550,144,56,32,32,36,signalized
gwb_cross_093,ny_w178,14185,3100,90,550,144,56,32,32,36,signalized
gwb_cross_094,ny_w178,14815,3100,90,550,144,56,32,32,36,signalized
gwb_cross_095,ny_w168,10565,4700,90,550,144,56,32,32,36,signalized
gwb_cross_096,ny_broadway,11600,4385,0,550,144,56,32,32,36,signalized
gwb_cross_097,ny_broadway,11600,5015,0,550,144,56,32,32,36,signalized
gwb_cross_098,ny_w168,11285,4700,90,550,144,56,32,32,36,signalized
gwb_cross_099,ny_w168,11915,4700,90,550,144,56,32,32,36,signalized
gwb_cross_100,ny_fort_washington,13100,4385,0,550,144,56,32,32,36,signalized
gwb_cross_101,ny_fort_washington,13100,5015,0,550,144,56,32,32,36,signalized
gwb_cross_102,ny_w168,12785,4700,90,550,144,56,32,32,36,signalized
gwb_cross_103,ny_w168,13415,4700,90,550,144,56,32,32,36,signalized
gwb_cross_104,ny_amsterdam,14500,4385,0,550,144,56,32,32,36,signalized
gwb_cross_105,ny_amsterdam,14500,5015,0,550,144,56,32,32,36,signalized
gwb_cross_106,ny_w168,14185,4700,90,550,144,56,32,32,36,signalized
gwb_cross_107,ny_w168,14815,4700,90,550,144,56,32,32,36,signalized
gwb_cross_108,ny_w120,10565,7500,90,550,144,56,32,32,36,signalized
gwb_cross_109,ny_broadway,11600,7185,0,550,144,56,32,32,36,signalized
gwb_cross_110,ny_broadway,11600,7815,0,550,144,56,32,32,36,signalized
gwb_cross_111,ny_w120,11285,7500,90,550,144,56,32,32,36,signalized
gwb_cross_112,ny_w120,11915,7500,90,550,144,56,32,32,36,signalized
gwb_cross_113,ny_fort_washington,13100,7185,0,550,144,56,32,32,36,signalized
gwb_cross_114,ny_fort_washington,13100,7815,0,550,144,56,32,32,36,signalized
gwb_cross_115,ny_w120,12785,7500,90,550,144,56,32,32,36,signalized
gwb_cross_116,ny_w120,13415,7500,90,550,144,56,32,32,36,signalized
gwb_cross_117,ny_amsterdam,14500,7185,0,550,144,56,32,32,36,signalized
gwb_cross_118,ny_amsterdam,14500,7815,0,550,144,56,32,32,36,signalized
gwb_cross_119,ny_w120,14185,7500,90,550,144,56,32,32,36,signalized
gwb_cross_120,ny_w120,14815,7500,90,550,144,56,32,32,36,signalized
gwb_cross_121,ny_w116,10565,8800,90,550,144,56,32,32,36,signalized
gwb_cross_122,ny_broadway,11600,8485,0,550,144,56,32,32,36,signalized
gwb_cross_123,ny_broadway,11600,9115,0,550,144,56,32,32,36,signalized
gwb_cross_124,ny_w116,11285,8800,90,550,144,56,32,32,36,signalized
gwb_cross_125,ny_w116,11915,8800,90,550,144,56,32,32,36,signalized
gwb_cross_126,ny_fort_washington,13100,8485,0,550,144,56,32,32,36,signalized
gwb_cross_127,ny_fort_washington,13100,9115,0,550,144,56,32,32,36,signalized
gwb_cross_128,ny_w116,12785,8800,90,550,144,56,32,32,36,signalized
gwb_cross_129,ny_w116,13415,8800,90,550,144,56,32,32,36,signalized
gwb_cross_130,ny_amsterdam,14500,8485,0,550,144,56,32,32,36,signalized
gwb_cross_131,ny_amsterdam,14500,9115,0,550,144,56,32,32,36,signalized
gwb_cross_132,ny_w116,14185,8800,90,550,144,56,32,32,36,signalized
gwb_cross_133,ny_w116,14815,8800,90,550,144,56,32,32,36,signalized
